"subject_id","exam_type","lessons_id","subject","grade_id","position"
5,1,0,İkinci dereceden denklemler,11,3
6,1,0,Parabol,11,4
7,1,0,Eşitsizlikler ve Eşitisizlik Sistemleri,11,5
8,1,0,Logaritma,11,10
9,1,0,Diziler,11,11
11,1,0,Limit,11,12
12,1,0,Türev,11,13
13,1,0,İntegral,11,14
53,0,0,"1.Dereceden Bir Bilinmeyenli Denklemler",10,1
54,0,0,Sayı Basamakları,10,2
55,0,0,Bölme ve Bölünebilme,10,3
56,0,0,Asal Çarpanlara Ayırma,10,4
57,0,0,Ebob-Ekok,10,5
58,0,0,Periyot Problemleri,10,6
59,0,0,"1.Dereceden Bir Bilinmeyenli Eşitsizlikler",10,7
60,0,0,Mutlak Değer,10,8
61,0,0,"1.Dereceden İki Bilinmeyenli Denklem Ve Eşitsizlikler",10,9
62,0,0,Üslü İfadeler,10,10
63,0,0,Köklü İfadeler,10,11
64,0,0,Oran-Orantı,10,12
65,0,0,Sayı-Kesir Problemleri,10,13
66,0,0,Yaş Problemleri,10,14
67,0,0,İşçi Problemleri,10,15
68,0,0,Hız Problemleri,10,16
69,0,0,Yüzde Problemleri,10,17
70,0,0,Kar-Zarar Problemleri,10,18
71,0,0,Karışım Problemleri,10,19
72,0,0,Rutin Olmayan Problemler,10,20
73,0,0,Mantık,10,21
74,0,0,Kümeler,10,22
75,0,0,Veri,10,23
76,0,0,Permütasyon,11,6
77,0,0,Kombinasyon,11,7
78,0,0,Binom Açılımı,11,8
79,0,0,Olasılık,11,9
80,0,1,Doğruda Açılar,10,0
81,0,1,Üçgende Açılar,10,1
82,0,1,Dik Üçgen,10,2
83,0,1,İkizkenar Üçgen,10,3
84,0,1,Eşkenar Üçgen,10,4
85,0,1,Üçgende Alan,10,5
86,0,1,Üçgende Açıortay,10,6
87,0,1,Üçgende Kenarortay,10,7
88,0,1,Açı-Kenar Bağıntıları,10,8
89,0,1,Üçgende Benzerlik,10,9
90,0,1,Çokgenler,10,10
91,0,1,Dörtgenler,10,11
92,0,1,Yamuk,10,12
93,0,1,Paralel Kenar,10,13
94,0,1,Dikdörtgen,10,14
95,0,1,Eşkenar Dörtgen,10,15
96,0,1,Kare,10,16
97,1,1,Çemberde Açı,10,17
98,1,1,Çemberde Uzunluk,10,18
99,1,1,Dairede Alan,10,19
100,1,1,Dik Prizmalar,10,20
101,1,1,Dik Prizmalar ve Dik Pramitler,10,21
102,1,1,Dik Dairesel Koni Ve Küre,10,23
103,1,1,Noktanın Analitik İncelenmesi,10,24
104,1,1,Doğrunun Analitik İncelenmesi,10,25
105,1,1,Trigonometri 1,10,26
106,1,1,Trigonometri 2,11,0
107,1,1,Dönüşümler,11,1
108,1,1,Çember Analitik İncelenmesi,11,2
152,0,0,Rasyonel Sayılar,11,15
153,0,2,Fizik Bilimine Giriş,10,0
154,0,2,Madde ve Özellikleri,10,1
155,0,2,Basınç ve Kaldırma Kuvveti,10,2
156,0,2,"Isı , Sıcaklık ve Genleşme",10,3
157,0,2,Hareket,10,4
158,0,2,Dinamik,10,5
159,0,2,"İş, Güç ve Enerji",10,6
160,0,2,Elektrik ve Manyetizma,10,7
161,0,2,Dalgalar,10,8
162,0,2,Optik,10,9
163,1,2,Kuvvet ve Hareket,11,0
164,1,2,Çembersel Hareket,11,1
165,1,2,Basit Harmonik Hareket,11,2
166,1,2,Dalga Mekaniği,11,3
167,1,2,Atom Fiziğine Giriş ve Radyoaktivite,11,4
168,1,2,Modern Fizik,11,5
169,1,2,Modern Fiziğin Teknolojideki Uygulamaları,11,6
170,0,3,Kimya Bilimi,10,0
171,0,3,Atom ve Yapısı,10,1
172,0,3,Periyodik Sistem,10,2
173,0,3,Kimyasal Türler Arası Etkileşimler,10,3
174,0,3,Maddenin Halleri,10,4
175,0,3,Maddenin Halleri,10,5
176,0,3,Doğa ve Kimya,10,6
177,0,3,Kimyanın Temel Kanunları,10,7
178,0,3,Mol Kavramı,10,7
179,0,3,Karışımlar,10,9
180,1,3,Modern Atom Teorisi,11,0
181,1,3,Gazlar,11,1
182,1,3,Çözeltiler,11,2
183,1,3,Kimya ve Enerji,11,3
184,1,3,Kimyasal Tepkimelerde Hız,11,4
185,1,3,Denge,11,5
186,1,3,Asit-Baz Dengesi,11,6
187,1,3,Çözünürlük Dengesi,11,7
188,1,3,Kimya ve Elektrik,11,8
189,1,3,Karbon Kimyasına Giriş,11,9
190,1,3,Hidrokarbonlar ,11,10
191,1,3,Fonksiyonel Gruplar,11,11
192,1,3,Enerji Kaynakları ve Bilimsel Gelişmeler,11,12
193,0,3,"Asitler,Bazlar ve Tuzlar",10,13
194,0,3,Kimya Heryerde ,10,14
195,1,2,Elektrik,11,7
196,1,2,Manyetizma,11,8
197,0,0,Sayı Kümeleri,10,0
198,1,1,Dik Dairesel Silindir,10,22
199,1,0,Fonksiyonlar,11,0
200,1,0,Polinomlar,11,1
201,1,0,Çarpanlara ayırma,11,2
